,bearish,bullish,date,title,enddate,yqdopen,yqdclose
0,"['COL', 'DVAX', 'CMI', 'CVX', 'OLED', 'AAPL', 'SLCA', 'SLB', 'INO', 'AKAM']",[],20170803,"Thumbs Up For One Speculative Stock, Thumbs Down For Another - Cramer's Lightning Round (8/2/17)",20180203,[],[]
1,['RDN'],"['ULTA', 'AB']",20170801,Ulta Beauty Is A Good Stock - Cramer's Lightning Round (7/31/17),20180201,[],[]
2,"['HSBC', 'JPM', 'RRD', 'KITE', 'PFE', 'ABT', 'TUP']","['APLE', 'FCX']",20170728,Freeport-McMoRan Has Bottomed At $12 - Cramer's Lightning Round (7/27/17),20180128,[],[]
3,"['UCTT', 'LRCX', 'AMAT', 'KLAC', 'FAST', 'HON', 'PTCT', 'ALDR', 'PETS', 'M', 'PVH', 'CUTR', 'AGN']","['KMX', 'AES', 'VRX', 'HTZ']",20170726,Valeant Can Go To $20 - Cramer's Lightning Round (7/25/17),20180126,[],[]
4,"['CVNA', 'KMX', 'MNK']","['QCOM', 'AAPL', 'IONS', 'NXPI', 'XRX', 'K', 'MAR']",20170725,Qualcomm Should Pay More For NXP Semiconductors - Cramer's Lightning Round (7/24/17),20180125,[],[]
5,"['ENR', 'PG', 'CAKE', 'DRI', 'ESV', 'TRTN']","['UNP', 'ADBE', 'SNDR']",20170721,BlackBerry Is Correctly Priced - Cramer's Lightning Round (7/20/17),20180121,[],[]
6,"['GME', 'EA', 'ATVI', 'TTWO', 'AMPH', 'REGN', 'CBU', 'PNC', 'NBR', 'MZOR', 'FRTA', 'NUE']","['PFE', 'CY']",20170720,Cypress Semiconductor Will Go To $17 - Cramer's Lightning Round (7/19/17),20180120,[],[]
7,['SIG'],"['SUPN', 'APO', 'CHGG', 'MCK', 'UPS']",20170719,Chegg Is Not Done Going Up - Cramer's Lightning Round (7/18/17),20180119,[],[]
8,['EXEL'],"['DATA', 'LYG', 'MGM', 'NWL', 'CCL', 'GRPN', 'EZU']",20170718,Tableau Software Is On Fire - Cramer's Lightning Round (7/17/17),20180118,[],[]
9,"['KMI', 'MMP']","['ARNA', 'XLNX', 'BMO', 'MO', 'WGO', 'INFO', 'SRE']",20170714,Bank Of Montreal Is A Good Conservative Bank - Cramer's Lightning Round (7/13/17),20180114,[],[]
10,"['AKS', 'NUE', 'ESRX']","['NVDA', 'SBUX', 'ATNX', 'STM']",20170713,Hold On To Starbucks - Cramer's Lightning Round (7/12/17),20180113,[],[]
11,"['FTR', 'SPH', 'STNG']","['DIS', 'ALXN', 'INCY']",20170712,Disney Is A Long-Term Buy - Cramer's Lightning Round (7/11/17),20180112,[],[]
12,"['MAT', 'HAS', 'MZOR', 'CARA']","['GOOS', 'RTN']",20170711,Raytheon Has A Lot Of Upside - Cramer's Lightning Round (7/10/17),20180111,[],[]
13,"['ON', 'AVGO', 'GNC', 'UA', 'NKE', 'ORLY', 'AMZN']","['GD', 'PETS', 'NVCR', 'PTLA', 'AVAV', 'IDXX', 'NEE']",20170710,NovoCure Is A Buy - Cramer's Lightning Round (7/7/17),20180110,[],[]
14,"['HAL', 'SJM', 'CBI']","['PEP', 'IIVI', 'T']",20170707,PepsiCo Is A Buy - Cramer's Lightning Round (7/6/17),20180107,[],[]
15,"['LOW', 'HD', 'EXEL']","['PH', 'SNV']",20170706,Parker-Hannifin Can Reach $200 - Cramer's Lightning Round (7/5/17),20180106,[],[]
16,"['AAOI', 'AVGO', 'MOS', 'AGCO', 'FPI', 'FEYE', 'PFPT', 'BGS', 'MDLZ']","['NTNX', 'ULTA', 'KEY', 'RAI']",20170626,Nutanix Is Undervalued - Cramer's Lightning Round (6/23/17),20171226,[],[]
17,"['X', 'NUE', 'CRC', 'VRX']","['ABBV', 'AVID', 'INCY', 'MAT', 'C', 'ALXN', 'ZTS', 'HAS', 'NYCB', 'IDXX']",20170623,Buy Hasbro At $110 - Cramer's Lightning Round (6/22/17),20171223,[],[]
18,"['SFS', 'AMZN', 'SEMG']","['AKS', 'CARA', 'NUE']",20170621,Smart & Final Cannot Compete With Amazon - Cramer's Lightning Round (6/20/17),20171221,[],[]
19,"['MRO', 'MPC']","['HOME', 'GOOS', 'T', 'UCTT']",20170620,AT&T Has Growth And Dividend - Cramer's Lightning Round (6/19/17),20171220,[],[]
20,['SWIR'],"['SGYP', 'BX', 'CMCSA', 'CMG']",20170619,Chipotle Is A Buy - Cramer's Lightning Round (6/16/17),20171219,[],[]
21,"['KORS', 'GT', 'CEQP', 'RIG', 'DDD', 'HPQ', 'FDX', 'MU', 'WDC', 'TOSBF']","['VMW', 'P', 'CLDR', 'XPO', 'SIRI']",20170616,Michael Kors Is A Loser - Cramer's Lightning Round (6/15/17),20171216,[],[]
22,"['XYL', 'PNR', 'MELI']","['DPZ', 'QCOM', 'INCY', 'NXPI', 'HFC']",20170614,Don't Sell Domino's - Cramer's Lightning Round (6/13/17),20171214,[],[]
23,['CC'],"['MGP', 'SCHW', 'ESNT', 'CARA']",20170613,Charles Schwab Will Go Up With Higher Interest Rates - Cramer's Lightning Round (6/12/17),20171213,[],[]
24,"['MZOR', 'TSE', 'AXTA', 'IGT']","['DIS', 'TIF', 'NDAQ', 'SKX']",20170612,Skechers Is Inexpensive - Cramer's Lightning Round (6/9/17),20171212,[],[]
25,['NOK'],"['GD', 'ADI', 'STZ', 'DAR', 'TAP', 'HII', 'BUD', 'VVV']",20170609,The Move In BlackBerry Is Done - Cramer's Lightning Round (6/8/17),20171209,[],[]
26,"['XRX', 'HUN']","['ABT', 'XLNX', 'ALR']",20170608,Xerox Has No Positive Catalysts - Cramer's Lightning Round (6/7/17),20171208,[],[]
27,"['TDOC', 'SRPT', 'NBR', 'PPC', 'TSN', 'ETP', 'WATT', 'PBYI']","['SHOP', 'SIRI']",20170607,Teladoc Is Heavily Shorted - Cramer's Lightning Round (6/6/17),20171207,[],[]
28,"['WIN', 'FANG', 'RDUS', 'GILD']","['CRL', 'AMD', 'MU']",20170605,Charles River Laboratories Is A Good Buy - Cramer's Lightning Round (6/2/17),20171205,[],[]
29,"['LITE', 'MOMO', 'BABA', 'MB', 'GWPH']","['AMAT', 'LRCX']",20170601,Yahoo Is Worth More In Parts - Cramer's Lightning Round (5/31/17),20171201,[],[]
30,"['KR', 'CBI', 'DDD', 'ARNC', 'CWH', 'DY']","['TWTR', 'SQ']",20170531,Square Has A Good Product - Cramer's Lightning Round (5/30/17),20171130,[],[]
31,"['IONS', 'GIII', 'PVH', 'CVI', 'VFC']","['TWLO', 'BRK.A', 'BRK.B', 'DOV']",20170526,Dover Is A Great American Company - Cramer's Lightning Round (5/25/17),20171126,[],[]
32,"['TEVA', 'TRIP', 'EXPE', 'LL', 'HD', 'CHRW', 'FDX']","['FL', 'CARA', 'NGG']",20170525,Foot Locker Has Upside - Cramer's Lightning Round (5/24/17),20171125,[],[]
33,['CYH'],"['GD', 'CG', 'LDOS', 'EBAY', 'SHOP', 'EXC']",20170524,Buy eBay - Cramer's Lightning Round (5/23/17),20171124,[],[]
34,"['FCX', 'NRZ', 'RRC', 'NTNX', 'CRM']","['SPLK', 'AZN', 'EXAS']",20170523,Don't Give Up On Splunk - Cramer's Lightning Round (5/22/17),20171123,[],[]
35,"['GILD', 'INCY', 'QRVO']",['SKT'],20170522,Gilead Should Buy Incyte - Cramer's Lightning Round (5/19/17),20171122,[],[]
36,"['ALXN', 'INCY', 'X', 'NUE']","['WBA', 'BDX', 'GIS', 'RAD', 'CBSH']",20170519,Walgreens Boots Alliance Is A Win-Win - Cramer's Lightning Round (5/18/17),20171119,[],[]
37,"['GILD', 'HCLP', 'TISI', 'XON']","['ARNC', 'BMY', 'FUN']",20170508,Gilead Sciences Is A Value Trap - Cramer's Lightning Round (5/5/17),20171108,[],[]
38,"['CC', 'GIS']","['SHOP', 'MO', 'RHT']",20170505,Hold On To Altria - Cramer's Lightning Round (5/4/17),20171105,[],[]
39,"['VLO', 'CCO']","['DRI', 'SWKS', 'SLB', 'AUPH']",20170503,"Patience With Schlumberger, Skyworks - Cramer's Lightning Round (5/2/17)",20171103,[],[]
40,"['AMGN', 'MITK', 'HPE']","['ALK', 'LUV', 'BRKS']",20170502,Alaska Air Is A Good Buy - Cramer's Lightning Round (5/1/17),20171102,[],[]
41,"['RDS.A', 'BOFI', 'JPM', 'WIFI', 'CMCSA', 'CRAY']","['HAL', 'A']",20170501,Go To Comcast - Cramer's Lightning Round (4/28/17),20171101,[],[]
42,"['X', 'NUE', 'DLTH', 'BMY', 'AKS', 'LKQ', 'SNA']","['AWK', 'AMT', 'CCI', 'HA', 'LUV']",20170428,Nucor Is The Best Steel Stock - Cramer's Lightning Round (4/27/17),20171028,[],[]
43,['ETP'],"['NI', 'REGN', 'SNY', 'BWLD', 'APO', 'MU', 'BX', 'WING']",20170427,Wingstop Over B-Dubs - Cramer's Lightning Round (4/26/17),20171027,[],[]
44,['MGA'],"['S', 'BAC', 'ILG', 'TMUS', 'WYN', 'SAGE', 'VAC']",20170426,Buy Bank Of America - Cramer's Lightning Round (4/25/17),20171026,[],[]
45,"['VRX', 'CHK', 'WFT']","['DAL', 'BRK.B', 'ALK', 'ABT', 'LUV', 'JBLU', 'AAL', 'CARA', 'UAL']",20170425,Southwest Airlines Is Favorite - Cramer's Lightning Round (4/24/2017),20171025,[],[]
46,"['TEVA', 'LNCE', 'FCX']","['EQM', 'CXW', 'ABBV', 'OCLR', 'BX']",20170424,Blackstone Is A Buy - Cramer's Lightning Round (4/21/2017),20171024,[],[]
47,"['GNC', 'CTL', 'IONS', 'TWTR']","['GD', 'LMT', 'NOC', 'RTN', 'ABB']",20170421,Wait For Twitter's Earnings - Cramer's Lightning Round (4/20/2017),20171021,[],[]
48,"['JBLU', 'LUV', 'ALK', 'DAL', 'NTNX', 'CSCO']","['MDLZ', 'ZYNE']",20170420,Don't Sell Mondelez International - Cramer's Lightning Round (4/19/2017),20171020,[],[]
49,"['AFSI', 'GIS']","['UBS', 'MOS', 'MTW']",20170414,It's Tough To Bet Against General Mills - Cramer's Lightning Round (4/13/2017),20171014,[],[]
50,['MYL'],"['AMN', 'SMG', 'SEMG', 'TSCO', 'CWH', 'AMCX']",20170413,Scotts Miracle-Gro Is Showing Strength - Cramer's Lightning Round (4/12/2017),20171013,[],[]
51,"['SWKS', 'AXGN', 'RIG', 'SAIC', 'NS']","['VLY', 'EXC']",20170412,Buy Skyworks Solutions After Analyst Downgrade - Cramer's Lightning Round (4/11/2017),20171012,[],[]
52,"['AMD', 'ESPR', 'BTU']","['BABA', 'COHR']",20170411,Alibaba Is Inexpensive Considering Its Growth Rate - Cramer's Lightning Round (4/10/2017),20171011,[],[]
53,"['VRX', 'TTC', 'HD']","['FRT', 'CRBP', 'VGR', 'ALDR']",20170410,Don't Bet Against Don Wood - Cramer's Lightning Round (4/7/2017),20171010,[],[]
54,"['SPH', 'UA']","['CX', 'TGTX', 'TWLO', 'HUBS']",20170407,Cramer Believes In Twilio - Cramer's Lightning Round (4/6/2017),20171007,[],[]
55,['EGLE'],"['VZ', 'BAC', 'GLD', 'ALKS', 'GOLD', 'NKTR']",20170404,Verizon Is A Buy - Cramer's Lightning Round (4/3/2017),20171004,[],[]
56,"['AN', 'KMX', 'CTL', 'VZ']",['BRK.B'],20170403,Berkshire Hathaway Going Down Is An Opportunity To Buy - Cramer's Lightning Round (3/31/2017),20171003,[],[]
57,"['PB', 'CFR', 'CRBP']","['ORI', 'AMD', 'AMGN', 'NXPI']",20170331,NXP Semiconductors Should Go Higher - Cramer's Lightning Round (3/30/2017),20170930,[],[]
58,['GOGL'],"['CC', 'NBL', 'HIMX', 'ZTS', 'AA', 'CELG', 'SLB', 'CY']",20170330,Schlumberger Is A Buy - Cramer's Lightning Round (3/29/2017),20170930,[],[]
59,"['PFE', 'BMY']","['XON', 'ARNC', 'RTN']",20170329,Raytheon Is A Buy - Cramer's Lightning Round (3/28/2017),20170929,[],[]
60,"['HSBC', 'VRAY', 'CLF']","['GOOS', 'MASI', 'NUE', 'SMG', 'STLD']",20170328,Nucor Is The Steel Company To Buy - Cramer's Lightning Round (3/27/17),20170928,[],[]
61,"['TEVA', 'EEP']","['MAR', 'SIRI', 'KTOS']",20170327,Enbridge Energy Partners' Yield Is A Red Flag - Cramer's Lightning Round (3/24/17),20170927,[],[]
62,"['F', 'OPK']","['RRD', 'STZ', 'MO', 'CIM', 'PM', 'CY']",20170324,It's Tough To Own Ford - Cramer's Lightning Round (3/23/17),20170924,[],[]
63,"['TWX', 'T']","['FLEX', 'HSY']",20170323,Hershey Will Go Higher - Cramer's Lightning Round (3/22/17),20170923,[],[]
64,"['TGT', 'GILD', 'NVO', 'LLY', 'AUPH', 'NOK', 'CTXS', 'CYH', 'UNH']","['DAL', 'STM', 'VOYA', 'CUDA', 'TELL']",20170320,Delta Air Lines Is Cheap - Cramer's Lightning Round (3/17/17),20170920,[],[]
65,"['SPH', 'INFN', 'FNSR', 'HCLP']","['GOV', 'GE', 'WFC', 'NOV']",20170317,Wells Fargo Is A Buy - Cramer's Lightning Round (3/16/17),20170917,[],[]
66,"['CRTO', 'KORS', 'CCJ', 'DATA', 'AAOI', 'FNSR', 'CBI']","['AMAT', 'AOBC', 'KLAC', 'LRCX']",20170316,Don't Buy Tableau Software - Cramer's Lightning Round (3/15/17),20170916,[],[]
67,"['JEC', 'SGEN']","['SYY', 'CHKP', 'CYBR', 'CSCO']",20170315,Seattle Genetics Is Too High To Be Bought - Cramer's Lightning Round (3/14/17),20170915,[],[]
68,"['XOM', 'IONS', 'BETR']","['ABT', 'SONC', 'SWKS', 'ABBV']",20170314,AbbVie And Abbott Are Good Stocks - Cramer's Lightning Round (3/13/17),20170914,[],[]
69,"['RAD', 'WBA', 'GWPH', 'QIWI']","['BURL', 'TJX', 'ROST']",20170313,Rite Aid Might Go Lower Than $4 - Cramer's Lightning Round (3/10/17),20170913,[],[]
70,"['M', 'NLY', 'SWIR']","['ANET', 'CWH', 'MRVL', 'AAOI']",20170310,Don't Buy Macy's - Cramer's Lightning Round (3/9/17),20170910,[],[]
71,"['NVDA', 'RAI', 'MO', 'PM']","['MU', 'ICE']",20170309,Hot Money Has To Get Out Of Nvidia - Cramer's Lightning Round (3/8/17),20170909,[],[]
72,"['CHK', 'EXAS', 'FRAC', 'SSYS']","['MMP', 'THS', 'TGTX', 'ARNC', 'KMI']",20170308,TreeHouse Foods Is A Good Buy - Cramer's Lightning Round (3/7/17),20170908,[],[]
73,"['CAB', 'WRD']","['ROP', 'T']",20170307,AT&T Is A Buy - Cramer's Lightning Round (3/6/17),20170907,[],[]
74,"['CBI', 'MTZ', 'EME', 'MBLY', 'HZNP', 'BA']",['AMD'],20170306,Buy AMD At $12.25 - Cramer's Lightning Round (3/3/17),20170906,[],[]
75,"['PRU', 'CB', 'ZTO', 'XPO', 'FDX']","['NDSN', 'GSK', 'ASX']",20170303,Don't Buy ZTO Express - Cramer's Lightning Round (3/2/17),20170903,[],[]
76,"['OPK', 'FEYE', 'CSCO']","['KBR', 'TTC']",20170302,Buy Cisco Instead Of FireEye - Cramer's Lightning Round (3/1/17),20170902,[],[]
77,"['SWN', 'OXY', 'RIG', 'SLB', 'NCLH', 'CCL', 'CDE', 'GOLD', 'TOO', 'FGP', 'OLN']","['NTAP', 'PENN']",20170301,NetApp Can Go Higher - Cramer's Lightning Round (2/28/17),20170901,[],[]
78,"['FSLR', 'WB', 'SLCA', 'QCOM', 'NXPI', 'ARRY', 'CELG', 'ESPR']","['PYPL', 'CHRW', 'TXN']",20170228,Texas Instruments Is Inexpensive - Cramer's Lightning Round (2/27/17),20170828,[],[]
79,['SUN'],"['CSCO', 'ED', 'PANW', 'SKT']",20170227,Cisco Is A Strong Play In Cybersecurity - Cramer's Lightning Round (2/24/17),20170827,[],[]
80,"['AGX', 'GTN', 'NXST', 'K', 'THS', 'BBY', 'EXAS', 'TAST', 'SNCR']","['VZ', 'BOX', 'TMUS']",20170224,Don't Buy Kellogg - Cramer's Lightning Round (2/23/17),20170824,[],[]
81,"['HBAN', 'KEY', 'EXEL', 'SAM', 'GILD']","['AMD', 'WDC', 'MET', 'INCY', 'SWKS', 'HCA', 'MU', 'FCX']",20170223,Incyte Is Undervalued - Cramer's Lightning Round (2/22/17),20170823,[],[]
82,"['HLF', 'RAD', 'WBA', 'ABX', 'GOLD', 'BUD', 'STZ', 'GEO']","['AGCO', 'MMP', 'PFG', 'POT', 'MOS', 'MU', 'SHLX']",20170217,Micron Technology Is A Cheap Stock - Cramer's Lightning Round (2/16/17),20170817,[],[]
83,"['EMES', 'SLB', 'SSW']","['ACN', 'NVDA', 'HSY', 'INO', 'CQP']",20170216,Hershey Is A Long-Term Buy - Cramer's Lightning Round (2/15/17),20170816,[],[]
84,['NOK'],"['ENB', 'CBG', 'NUE', 'AKS', 'AQN']",20170215,Buy Nucor - Cramer's Lightning Round (2/14/17),20170815,[],[]
85,"['UBNT', 'LGF.A', 'DUK', 'MCY', 'TRV', 'ALL', 'IMMU', 'CELG', 'SUN']","['PCLN', 'CHK', 'ZLTQ', 'SLB']",20170214,Buy Schlumberger At $81 - Cramer's Lightning Round (2/13/17),20170814,[],[]
86,"['ARNC', 'HIMX']","['X', 'BMY', 'OLED']",20170213,United States Steel Is Ready To Run - Cramer's Lightning Round (2/10/17),20170813,[],[]
87,"['ADM', 'AGCO', 'KNOP', 'NAK']","['SAIC', 'THO', 'REVG', 'ACC', 'SHOP']",20170210,Dow Chemical Is Inexpensive - Cramer's Lightning Round (2/9/17),20170810,[],[]
88,"['ELY', 'AUO', 'CSCO', 'PFE', 'AGN']","['PLAY', 'PNRA', 'MIC', 'BLK']",20170209,BlackRock Keeps Making Money For Investors - Cramer's Lightning Round (2/8/17),20170809,[],[]
89,"['ESRX', 'UNH']","['NYCB', 'AMGN', 'FI', 'MB', 'SAN', 'BCS']",20170208,Buy Amgen On Weakness - Cramer's Lightning Round (2/7/17),20170808,[],[]
90,"['AKS', 'NUE', 'X', 'RAD', 'WBA', 'GLW', 'AAPL']","['AAL', 'EXEL', 'BOX']",20170207,Don't Buy Rite Aid - Cramer's Lightning Round (2/6/17),20170807,[],[]
91,"['EMR', 'ITW', 'NGD', 'GOLD', 'CLF']","['CRZO', 'MEI', 'KTOS']",20170206,Book Profits On Cliffs Natural Resources - Cramer's Lightning Round (2/3/17),20170806,[],[]
92,['CRC'],"['TWI', 'D', 'XLNX']",20170203,Dominion Resources Is A Buy - Cramer's Lightning Round (2/2/17),20170803,[],[]
93,"['FEYE', 'CHKP', 'CYBR', 'CARA']","['SN', 'ACM']",20170202,Sanchez Energy Is A Buy - Cramer's Lightning Round (2/1/17),20170802,[],[]
94,"['MOH', 'UNH', 'FMX']","['RCL', 'CCL', 'TECK']",20170201,Buy UnitedHealthcare - Cramer's Lightning Round (1/31/17),20170801,[],[]
95,"['X', 'NUE']","['WY', 'AGCO', 'POT', 'MOS', 'AGU', 'CSCO']",20170131,Cisco Is A Buy - Cramer's Lightning Round (1/30/17),20170731,[],[]
96,"['ABG', 'AAP', 'TEVA', 'STM', 'MU']","['AGN', 'GLOP']",20170130,Allergan Is A Cheap Stock - Cramer's Lightning Round (1/27/17),20170730,[],[]
